data;year;month;last;open;max;min;Covid
2016-01-04;2016;1;4.22;4.35;4.37;4.22;0
2016-01-05;2016;1;4.29;4.28;4.31;4.23;0
2016-01-06;2016;1;4.33;4.23;4.41;4.21;0
2016-01-07;2016;1;4.27;4.25;4.31;4.21;0
2016-01-08;2016;1;4.27;4.31;4.34;4.24;0
2016-01-11;2016;1;4.21;4.28;4.3;4.18;0
2016-01-12;2016;1;4.16;4.27;4.32;4.16;0
2016-01-13;2016;1;4.18;4.23;4.25;4.14;0
2016-01-14;2016;1;4.19;4.19;4.23;4.09;0
2016-01-15;2016;1;4.12;4.14;4.16;4.08;0
2016-01-18;2016;1;4.11;4.12;4.16;4.08;0
2016-01-19;2016;1;4.06;4.18;4.19;4.06;0
2016-01-20;2016;1;4.02;4.02;4.06;4;0
2016-01-21;2016;1;4.03;4.02;4.07;4;0
2016-01-22;2016;1;4.09;4.07;4.12;4.05;0
2016-01-26;2016;1;4.16;4.05;4.16;4;0
2016-01-27;2016;1;4.16;4.12;4.25;4.09;0
2016-01-28;2016;1;4.25;4.18;4.25;4.14;0
2016-01-29;2016;1;4.4;4.27;4.41;4.27;0
2016-02-01;2016;2;4.43;4.39;4.43;4.32;0
2016-02-02;2016;2;4.06;4.19;4.25;4.06;0
2016-02-03;2016;2;4.27;4.13;4.28;4.11;0
2016-02-04;2016;2;4.34;4.32;4.44;4.21;0
2016-02-05;2016;2;4.34;4.33;4.41;4.32;0
2016-02-10;2016;2;4.34;4.27;4.36;4.26;0
2016-02-11;2016;2;4.25;4.3;4.3;4.19;0
2016-02-12;2016;2;4.25;4.28;4.3;4.21;0
2016-02-15;2016;2;4.26;4.34;4.34;4.26;0
2016-02-16;2016;2;4.32;4.27;4.39;4.25;0
2016-02-17;2016;2;4.34;4.34;4.47;4.31;0
2016-02-18;2016;2;4.27;4.31;4.32;4.23;0
2016-02-19;2016;2;4.27;4.26;4.31;4.21;0
2016-02-22;2016;2;4.42;4.41;4.48;4.35;0
2016-02-23;2016;2;4.41;4.38;4.47;4.36;0
